Country Name,Year,Indicator Name,Value
Central African Republic,2010,"Barro-Lee: Average years of total schooling, age 15+, total",3.76
Central African Republic,2005,"Barro-Lee: Average years of total schooling, age 15+, total",3.55
Central African Republic,2000,"Barro-Lee: Average years of total schooling, age 15+, total",3.29
Central African Republic,1995,"Barro-Lee: Average years of total schooling, age 15+, total",2.99
Central African Republic,1990,"Barro-Lee: Average years of total schooling, age 15+, total",2.67
Central African Republic,1985,"Barro-Lee: Average years of total schooling, age 15+, total",2.06
Central African Republic,1980,"Barro-Lee: Average years of total schooling, age 15+, total",1.66
Central African Republic,1975,"Barro-Lee: Average years of total schooling, age 15+, total",1.15
Central African Republic,1970,"Barro-Lee: Average years of total schooling, age 15+, total",0.82
Central African Republic,1965,"Barro-Lee: Average years of total schooling, age 15+, total",0.54
Central African Republic,1960,"Barro-Lee: Average years of total schooling, age 15+, total",0.41
Central African Republic,2010,"Barro-Lee: Average years of total schooling, age 15+, female",2.72
Central African Republic,2005,"Barro-Lee: Average years of total schooling, age 15+, female",2.43
Central African Republic,2000,"Barro-Lee: Average years of total schooling, age 15+, female",2.18
Central African Republic,1995,"Barro-Lee: Average years of total schooling, age 15+, female",1.91
Central African Republic,1990,"Barro-Lee: Average years of total schooling, age 15+, female",1.66
Central African Republic,1985,"Barro-Lee: Average years of total schooling, age 15+, female",1.17
Central African Republic,1980,"Barro-Lee: Average years of total schooling, age 15+, female",0.9
Central African Republic,1975,"Barro-Lee: Average years of total schooling, age 15+, female",0.56
Central African Republic,1970,"Barro-Lee: Average years of total schooling, age 15+, female",0.38
Central African Republic,1965,"Barro-Lee: Average years of total schooling, age 15+, female",0.27
Central African Republic,1960,"Barro-Lee: Average years of total schooling, age 15+, female",0.23